城市|职位名称|公司名称|薪资|地点|经验|学历|公司性质
北京|JAVA/ Python/C/C++/GO/数据开发|外企德科数字技术有限公司|1.5-3万|北京·海淀|经验不限|本科|合资
北京|python开发工程师|安徽闻天信息技术有限公司|1-1.5万|北京·海淀·上地|5-10年|大专|民营
北京|Python开发工程师|长扬科技(北京)股份有限公司|1.5-2.5万|北京·海淀|3-5年|本科|民营
北京|软件开发java python C/C++(可接受应届生）|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀|经验不限|本科|合资
北京|Python开发工程师|安徽闻天信息技术有限公司|1.2-1.5万|北京·海淀·上地|5-10年|大专|民营
北京|Python开发工程师（邮储银行）|北京神州数字科技有限公司|1.4-1.8万·13薪|北京·丰台·右安门|5-10年|本科|民营
北京|Java/C++/C/Python/GO/JS|外企德科数字技术有限公司|1.2-2.4万·15薪|北京·海淀·上地|经验不限|本科|合资
北京|后端python工程师|陕西康惠制药股份有限公司|6000-11000元|北京·朝阳|经验不限|本科|民营
北京|python工程师|中国人民解放军军事科学院战争研究院|1.3-2.6万|北京·海淀|1-3年|本科|民营
北京|Java/C/C++/Python/前端/测试（线上面试）|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀|经验不限|本科|合资
北京|Python AI测试开发工程师（双休，大厂）|深圳市法本信息技术股份有限公司|1.7-2.5万|北京·朝阳·亚运村|3-5年|本科|民营
北京|python开发|南京绿和信息技术有限公司|1.1-1.5万|北京·丰台·云岗|1-3年|大专|民营
北京|JAVA/JS/C/C++/Python/go/测试|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀|经验不限|本科|合资
北京|python、AI开发工程师|武汉职多多网络科技有限公司|2-2.4万|北京·朝阳·亚运村|3-5年|本科|民营
北京|Python高级开发工程师|天创北方智慧物联科技有限公司|2-3.5万|北京·丰台·看丹|1-3年|本科|民营
北京|Java/C/C++/Python/前端/测试（接受无经验）|外企德科数字技术有限公司|1.6-3万·14薪|北京·海淀·上地|经验不限|本科|合资
